priority,recommendation,cluster,title,candidate_url,post_id,post_type,live_status,clicks,impressions,reasons,gsc_risk,gsc_matched,gsc_top_queries,status,safety_gate
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","עורך דין לענייני עבירות מין | טענות הגנה בעבירות מין | עו”ד פלילי חקירת עבירות מין","https://jus-tice.co.il/sex-crime-lawyer","6157","articles","200","34","27904","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","medical-malpractice","עורך דין רשלנות רפואית בלידה (0c/595i/p39.7) | עורך דין רשלנות רפואית בהריון (0c/398i/p65.7) | עורך דין רשלנות רפואית ניתוח קיסרי (0c/153i/p66.7) | רשלנות רפואית לנשים בהריון (0c/59i/p56.0) | רשלנות רפואית קרע בלידה (0c/46i/p83.3)","https://jus-tice.co.il/%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A8%D7%A9%D7%9C%D7%A0%D7%95%D7%AA-%D7%A8%D7%A4%D7%95%D7%90%D7%99%D7%AA-%D7%91%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%95%D7%9E%D7%9C%D7%A5","","gsc-url","","1","27275","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","עורך דין רשלנות רפואית בלידה (0c/595i/p39.7) | עורך דין רשלנות רפואית בהריון (0c/398i/p65.7) | עורך דין רשלנות רפואית ניתוח קיסרי (0c/153i/p66.7) | רשלנות רפואית לנשים בהריון (0c/59i/p56.0) | רשלנות רפואית קרע בלידה (0c/46i/p83.3)","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","השקעות נדלן ביוון – מדריך מפורט למשקיע 2025 | תחזית 2026 יוון השקעות","https://jus-tice.co.il/investing-in-greece-real-estate","11857","articles","200","22","27183","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","employment-law","שכר טרחת עורכי דין 2025 – תמונת מצב בישראל ובעולם","https://jus-tice.co.il/lawyer-fee-outlook","12259","articles","200","110","27147","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","קידום אתר אינטרנט במנועי חיפוש | אופטימיזציה למנועי חיפוש SEO | קידום אורגני","https://jus-tice.co.il/search-engine-optimization","3473","articles","200","2","27139","gsc_do_not_touch_high_traffic_url","HIGH","YES","אופטימיזציה במנועי חיפוש (0c/192i/p27.6) | שיווק במנועי חיפוש (0c/49i/p66.2) | חיפוש מילה בדף אינטרנט (0c/13i/p56.6) | שיווק במנועי חיפוש,- (0c/7i/p70.3) | חברה לקידום אתרים באינטרנט,-,,44 (0c/5i/p86.0)","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","real-estate","UNKNOWN","https://jus-tice.co.il/real-estate-lawyer-guide","","gsc-url","","7","26708","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","notary-foreign","UNKNOWN","https://jus-tice.co.il/%D7%97%D7%AA%D7%99%D7%9E%D7%AA-%D7%A2%D7%95%D7%A8%D7%9A-%D7%93%D7%99%D7%9F-%D7%A0%D7%95%D7%98%D7%A8%D7%99%D7%95%D7%9F","","gsc-url","","103","25578","direct_gsc_high_value_url|gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","DO_NOT_TOUCH_HIGH_TRAFFIC_URL","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","criminal-law","עבירות סמים","https://jus-tice.co.il/drug-related-crime","862","articles","200","3","24014","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","עורך דין השקעות נדל”ן בחו”ל | המדריך לרכישת נכס נדל”ן מחוץ לישראל","https://jus-tice.co.il/real-estate-investing","9090","articles","200","27","23875","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","traffic-law","מהירות מופרזת","https://jus-tice.co.il/speeding","839","articles","200","0","23393","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
"P0","PROTECT_AND_REWRITE_OR_MERGE","needs-classification","להב 433: מבנה היחידה כתובות וטלפונים | משטרת ישראל להב 433","https://jus-tice.co.il/lahav-433","12464","articles","200","302","23382","gsc_do_not_touch_high_traffic_url","HIGH","YES","UNKNOWN","KEEP_CURRENT_CLEAN_SLUG","OWNER_GSC_REVIEW_REQUIRED_BEFORE_NOINDEX_DELETE_REDIRECT"
