id,type,slug,title,url,httpStatus,finalUrl,hops,isLoop,redirectChain
2738,article,"article-2738","טופס הודעה על התפטרות מעבודה","https://jus-tice.co.il/article-2738/",200,"https://jus-tice.co.il/article-2738/",0,false,"https://jus-tice.co.il/article-2738/"
2737,article,"regulations-compensation-1988","תקנות פיצויי פיטורים (חובת מסירת הודעות למעביד), תשמ&quot;ט-1988","https://jus-tice.co.il/regulations-compensation-1988/",200,"https://jus-tice.co.il/regulations-compensation-1988/",0,false,"https://jus-tice.co.il/regulations-compensation-1988/"
2731,article,"law-2731","חוק הודעה מוקדמת לפיטורים ולהתפטרות עם הסברים לחוק המקורי","https://jus-tice.co.il/law-2731/",200,"https://jus-tice.co.il/law-2731/",0,false,"https://jus-tice.co.il/law-2731/"
2727,article,"lawsuits-companies","תביעות עובדים מול המל״ל בחברות משפחתיות","https://jus-tice.co.il/lawsuits-companies/",200,"https://jus-tice.co.il/lawsuits-companies/",0,false,"https://jus-tice.co.il/lawsuits-companies/"
2698,article,"cancellation-of-closed-case-records-from-the-criminal-database","נוהל טיפול בפניות לביטול רישומי תיקים סגורים ממאגר המידע הפלילי","https://jus-tice.co.il/cancellation-of-closed-case-records-from-the-criminal-database/",200,"https://jus-tice.co.il/cancellation-of-closed-case-records-from-the-criminal-database/",0,false,"https://jus-tice.co.il/cancellation-of-closed-case-records-from-the-criminal-database/"
2692,article,"research-report-n156-persistent-symptoms","תופעות לוואי קשות בקרב מחלימים מקורונה","https://jus-tice.co.il/research-report-n156-persistent-symptoms/",200,"https://jus-tice.co.il/research-report-n156-persistent-symptoms/",0,false,"https://jus-tice.co.il/research-report-n156-persistent-symptoms/"
2651,article,"privacy","קורונה שב&quot;כ פרטיות: שימוש כפוי ביישומון לאיתור מגעים או בטכנולוגיית מעקב אחרת","https://jus-tice.co.il/privacy/",200,"https://jus-tice.co.il/privacy/",0,false,"https://jus-tice.co.il/privacy/"
2649,article,"investigation-criminal","נתניהו-מליקובסקי: עיקרי נימוקי היועמ&quot;ש שלא לפתוח בחקירה פלילית בפרשת המניות","https://jus-tice.co.il/investigation-criminal/",200,"https://jus-tice.co.il/investigation-criminal/",0,false,"https://jus-tice.co.il/investigation-criminal/"
2646,article,"ruling-cancellation-process-witness-new","הלכת אלקצאצי: משך ההמתנה מביטול הליך פשיטת רגל ועד פתיחת הליך חדש","https://jus-tice.co.il/ruling-cancellation-process-witness-new/",200,"https://jus-tice.co.il/ruling-cancellation-process-witness-new/",0,false,"https://jus-tice.co.il/ruling-cancellation-process-witness-new/"
2640,article,"lawsuit-company-law-companies-353","תביעה המוגשת על ידי חברה בע&quot;מ &#8211; על חיוב בערובה מכוח סעיף 353א לחוק החברות","https://jus-tice.co.il/lawsuit-company-law-companies-353/",200,"https://jus-tice.co.il/lawsuit-company-law-companies-353/",0,false,"https://jus-tice.co.il/lawsuit-company-law-companies-353/"
2638,article,"paternity-fraud","הונאת אבהות: תביעה כספית של איש כנגד אשתו לשעבר לפיצוי על נזקים בטענת הונאת אבהות (תלה&quot;מ 40832-12-19)","https://jus-tice.co.il/paternity-fraud/",200,"https://jus-tice.co.il/paternity-fraud/",0,false,"https://jus-tice.co.il/paternity-fraud/"
2619,article,"verdict-law-340-52446-06-16","פס&quot;ד אמיר ברמלי-רוביקון | הכרעת דין בפרשת הונאת משקיעים בהיקף משוער של כ-340 מיליון ש&quot;ח (ת&quot;פ 52446-06-16)","https://jus-tice.co.il/verdict-law-340-52446-06-16/",200,"https://jus-tice.co.il/verdict-law-340-52446-06-16/",0,false,"https://jus-tice.co.il/verdict-law-340-52446-06-16/"
2599,article,"7023-19","ע&quot;א 7023/19 פלוני נ. פלוני","https://jus-tice.co.il/7023-19/",200,"https://jus-tice.co.il/7023-19/",0,false,"https://jus-tice.co.il/7023-19/"
2477,article,"conviction-acquittal-proceedings-criminal","שיעורי הרשעה וזיכוי בהליכים פליליים","https://jus-tice.co.il/conviction-acquittal-proceedings-criminal/",200,"https://jus-tice.co.il/conviction-acquittal-proceedings-criminal/",0,false,"https://jus-tice.co.il/conviction-acquittal-proceedings-criminal/"
2465,article,"lawyer-right-1437-02","(בג״צ 1437/02) זכות היסוד להיפגש עם עורך דין","https://jus-tice.co.il/lawyer-right-1437-02/",200,"https://jus-tice.co.il/lawyer-right-1437-02/",0,false,"https://jus-tice.co.il/lawyer-right-1437-02/"
2429,article,"income-protection-insurance","ביטוח מפני אובדן כושר עבודה | ירידה בהכנסות עקב משבר הקורונה","https://jus-tice.co.il/income-protection-insurance/",200,"https://jus-tice.co.il/income-protection-insurance/",0,false,"https://jus-tice.co.il/income-protection-insurance/"
2380,article,"article-2380","מדריכי גיוס עובדים","https://jus-tice.co.il/article-2380/",200,"https://jus-tice.co.il/article-2380/",0,false,"https://jus-tice.co.il/article-2380/"
2297,article,"company-insurance-5801-07-17","ת&quot;א 5801-07-17 פלוני נגד הפול חברה לביטוח בע&quot;מ","https://jus-tice.co.il/company-insurance-5801-07-17/",200,"https://jus-tice.co.il/company-insurance-5801-07-17/",0,false,"https://jus-tice.co.il/company-insurance-5801-07-17/"
2288,article,"article-2288","קורונה: מתווה הקניונים","https://jus-tice.co.il/article-2288/",200,"https://jus-tice.co.il/article-2288/",0,false,"https://jus-tice.co.il/article-2288/"
2245,article,"verdict-compensation-20","פס&quot;ד: סלקום מכרה מידע ונתוני איכון על לקוחותיה ותשלם פיצוי של כ 20 מיליון שקל","https://jus-tice.co.il/verdict-compensation-20/",200,"https://jus-tice.co.il/verdict-compensation-20/",0,false,"https://jus-tice.co.il/verdict-compensation-20/"
2235,article,"19-covid","הנחיות להתמודדות עם נגיף הקורונה 19-COVID","https://jus-tice.co.il/19-covid/",200,"https://jus-tice.co.il/19-covid/",0,false,"https://jus-tice.co.il/19-covid/"
